1		448.0		20.1
2		114.0		20.1
3		85.6		20.2
4		116.3		20.2
5		71.2		20.2
6		36.4		20.2
7		114.7		20.2
8		36.3		20.2
9		115.3		20.2
10		-21.0		20.2
11		-18.8		20.3
12		131.5		20.3
13		-40.2		20.3
14		109.2		20.3
15		-29.2		20.3
16		-67.3		20.3
17		56.7		20.1
18		10.2		20.0
19		206.4		20.0
20		85.3		19.9
21		76.6		19.9
22		52.0		19.9
23		50.1		19.9
24		73.9		19.8
25		30.0		19.8
26		48.3		19.8
27		74.3		19.8
28		30.2		19.8
29		87.8		19.8
30		21.0		19.9
31		23.5		19.9
32		58.4		19.9
33		37.8		20.1
34		9.3		20.1
35		29.0		20.1
36		12.2		20.1
37		7.0		20.0
38		31.6		20.0
39		43.8		19.5
40		42.6		19.7
41		52.3		19.7
42		65.4		19.7
43		-3.5		19.7
44		47.4		20.0
45		43.0		19.9
46		42.9		19.9
47		121.2		19.8
48		208.6		19.7

